row_id,efficiency_binning_quantile,eff_times_minutes_binning_quantile,scoring_impact_binning_quantile,eff_per_point_binning_quantile,eff_per_min_binning_quantile,scoring_volume_binning_quantile
7941,3,1,1,2,2,2
1163,16,5,5,5,4,5
583,10,4,2,6,3,2
4082,12,4,4,3,3,4
8413,9,4,4,1,2,5
8731,4,2,3,1,3,3
5937,20,6,6,5,6,6
8284,10,4,3,5,1,4
3707,1,1,1,1,1,1
4072,7,4,3,1,1,4
3754,12,5,4,3,2,5
5488,8,3,4,1,3,4
3654,7,2,3,2,4,3
6822,16,5,5,4,5,5
7638,4,2,2,3,3,2
3465,9,3,3,5,4,3
4668,17,6,5,6,4,5
8305,5,2,2,2,2,3
8852,2,2,2,1,1,3
6378,20,6,6,4,6,6
6477,19,6,6,4,4,6
5139,6,3,2,3,2,3
7134,11,3,4,3,5,3
7061,2,1,1,3,4,1
5318,19,6,6,5,6,5
268,17,6,6,1,2,6
7999,2,1,1,6,1,1
6050,4,2,1,6,3,1
94,9,4,3,2,1,5
4491,2,1,1,3,1,1
249,1,1,1,1,1,1
6046,10,3,3,4,6,3
1088,18,6,6,3,4,6
1211,15,6,5,3,1,6
748,1,1,1,4,1,1
701,1,1,1,1,1,1
6788,19,6,6,4,4,6
4192,13,5,5,1,3,5
2871,19,6,6,5,6,5
669,5,2,2,5,4,2
1731,13,5,5,1,1,6
319,18,6,6,4,3,6
1528,12,3,4,4,6,3
677,5,2,2,5,4,2
6206,5,2,1,6,1,1
1929,6,3,2,4,1,3
648,7,2,2,4,5,2
1993,16,5,5,6,6,4
81,3,1,2,1,2,2
767,19,5,6,4,6,5
6322,16,6,5,4,3,5
1643,1,1,1,1,1,1
5793,15,5,5,3,3,5
6825,1,1,1,1,1,1
3002,8,4,2,5,1,3
4447,2,2,1,5,1,1
1878,18,6,6,3,5,6
5594,1,1,1,6,1,1
8768,16,5,5,4,4,5
6190,17,6,6,2,3,6
7516,3,1,1,6,2,1
8408,1,1,1,3,1,1
5949,16,6,5,4,2,6
6518,11,4,4,1,3,5
1045,2,1,1,1,1,2
3781,20,6,6,4,4,6
7245,16,5,5,3,6,5
5759,9,2,4,1,6,3
5289,18,6,5,6,5,5
519,16,5,5,5,5,4
7899,19,6,6,3,5,6
2089,2,1,1,1,2,1
8967,5,2,2,5,2,2
564,4,2,2,2,3,2
7318,3,2,2,2,1,2
1845,7,2,2,6,4,2
1181,2,1,1,1,3,1
1748,11,4,3,5,2,4
5203,7,2,2,5,5,2
2684,5,2,3,1,5,2
1373,12,3,3,6,6,2
3947,11,4,5,1,3,5
2261,8,3,3,2,2,4
625,1,1,1,6,1,1
5852,2,1,1,1,1,1
764,5,1,3,1,6,2
8157,7,2,2,6,5,2
6931,16,5,5,5,6,4
8734,5,3,2,6,1,2
1700,3,2,2,2,1,2
316,8,4,3,4,1,3
7341,1,1,1,1,1,2
