row_id,player_id,age,position,team,opponent,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fg_pct,three_pct,ft_pct,plus_minus,efficiency,game_location,rest_days,target
5217,1048,28,PG,CLE,UTA,34.1,19,5,8,0,1,3,38.3,39.7,75.3,5,30,Away,2,1
2211,1300,27,C,ORL,NOP,27.2,19,7,0,1,1,2,52.6,33.4,69.2,-1,26,Home,2,1
4826,1486,26,C,POR,ORL,36.8,18,12,0,1,3,2,43.7,25.9,87.6,-11,32,Away,1,1
6275,1093,35,C,LAC,SAC,11.7,3,5,0,0,1,1,49.0,40.8,76.5,6,8,Away,1,0
3735,1023,30,SF,GSW,MIL,25.2,15,3,1,0,0,3,51.5,37.9,75.4,-2,16,Away,3,0
7549,1189,23,PG,MIN,PHI,13.3,4,1,6,1,0,2,56.3,37.6,90.2,-2,10,Away,1,0
8915,1198,21,C,DAL,UTA,14.3,9,7,1,1,1,0,38.4,26.7,60.5,-11,19,Home,1,0
6714,1112,27,PF,IND,MIN,18.3,4,6,3,0,0,0,41.8,33.9,64.0,-13,13,Home,2,0
8541,1044,26,PF,SAS,LAL,27.1,12,7,1,0,1,1,48.9,29.6,81.1,23,20,Away,2,1
5104,1099,22,SF,GSW,NOP,29.2,14,5,4,2,1,0,48.6,27.9,76.2,5,26,Away,1,1
6222,1489,25,PG,SAC,MEM,18.1,12,2,4,1,2,1,49.9,42.9,81.2,-10,20,Home,0,0
816,1185,24,SF,OKC,LAC,22.8,10,3,3,1,1,0,58.6,28.1,77.3,6,18,Home,3,0
4964,1357,24,SG,NOP,BKN,14.4,7,0,0,1,0,0,45.1,44.9,93.2,-5,8,Away,1,0
619,1236,25,PG,IND,POR,21.3,14,4,6,1,0,1,54.3,29.2,70.7,24,24,Away,0,1
4399,1075,27,SF,MIA,DET,22.2,11,0,1,0,1,2,46.4,38.8,81.8,-3,11,Away,2,0
4413,1275,25,SG,DET,GSW,20.9,13,3,0,1,0,1,31.4,47.6,83.6,0,16,Home,3,0
4856,1410,24,SG,MIN,IND,25.8,8,0,2,2,1,1,47.4,32.9,84.3,2,12,Home,2,0
7024,1411,23,SF,PHI,MEM,32.8,15,4,4,1,2,3,43.1,38.1,81.8,-6,23,Home,1,1
1043,1172,29,SG,TOR,MIL,28.6,18,4,3,2,0,0,43.9,26.3,80.1,-12,27,Home,2,1
2373,1026,30,PF,CLE,HOU,13.5,9,4,2,0,1,0,39.9,31.8,74.5,10,16,Away,1,0
2752,1019,28,PF,PHI,IND,18.1,11,2,4,1,1,1,44.9,34.5,87.8,3,18,Away,2,0
3299,1024,27,SF,POR,CHI,27.3,15,3,0,0,0,1,51.3,17.2,81.0,8,17,Away,1,0
1075,1254,27,SG,CHI,DET,11.2,3,4,2,0,1,0,46.8,40.1,78.4,8,10,Home,1,0
1397,1034,28,PF,IND,CHA,22.1,9,5,1,0,1,0,38.4,26.0,66.4,-14,16,Away,2,0
8791,1258,26,SG,ORL,PHX,31.6,18,7,4,1,1,3,42.3,42.4,86.1,6,28,Home,1,1
5805,1269,27,PF,ORL,DAL,23.8,11,6,1,1,0,2,42.7,35.5,77.3,-15,17,Away,0,0
3804,1115,29,PF,ORL,DET,20.4,12,5,1,1,1,0,40.9,29.7,73.1,19,20,Home,1,0
180,1397,22,C,NYK,POR,38.6,19,12,4,0,1,3,46.3,47.6,61.9,7,33,Home,0,1
8317,1421,25,SG,IND,LAC,32.1,19,5,3,1,0,2,53.4,33.3,74.0,8,26,Away,0,1
2648,1124,27,PG,LAC,TOR,17.3,12,1,3,2,1,0,45.1,42.9,81.9,0,19,Home,1,0
5573,1192,28,PG,CLE,TOR,19.0,11,3,6,1,0,1,48.1,43.6,74.2,-1,20,Home,2,1
7347,1069,28,PF,MIL,LAC,24.8,10,8,4,1,1,2,50.2,42.4,70.2,-5,22,Away,1,1
2457,1204,26,PF,IND,PHX,15.6,11,6,0,0,0,1,45.8,26.6,90.5,-4,16,Home,1,0
8362,1433,27,C,LAC,CHI,27.5,16,10,1,1,3,1,55.2,30.5,89.7,-8,30,Home,1,1
1158,1402,27,SG,BOS,IND,42.5,30,3,2,2,1,4,43.9,48.0,88.6,-7,34,Home,2,1
6483,1499,29,PG,GSW,LAC,33.8,20,3,8,1,0,2,46.2,53.9,85.3,-12,30,Home,2,1
1533,1140,26,PF,BKN,WAS,34.7,20,7,4,1,1,3,49.3,36.2,69.4,-7,30,Home,4,1
3066,1118,28,PF,SAS,CHA,27.8,17,8,3,1,0,2,46.1,42.8,69.0,-1,27,Away,5,0
3107,1041,30,C,PHX,UTA,29.5,13,6,1,0,1,3,46.2,34.0,76.0,-6,18,Away,1,0
8620,1409,23,SG,MEM,TOR,29.3,15,3,1,1,1,3,53.1,42.7,80.3,4,18,Home,1,0
3275,1275,25,PG,DET,TOR,20.9,7,2,7,1,0,2,47.7,41.1,81.8,-7,15,Away,1,0
8184,1436,29,SF,CHA,ORL,26.0,12,2,0,2,0,1,36.6,40.5,78.2,2,15,Home,2,0
2440,1272,27,SF,UTA,DET,33.4,15,6,2,1,0,3,49.1,34.2,80.5,6,21,Home,0,0
1536,1209,31,SF,NYK,PHI,11.7,5,2,1,0,0,0,37.7,29.7,72.1,-6,8,Away,1,0
1346,1089,26,PG,MIA,CHI,36.7,16,5,10,2,0,1,36.8,49.5,91.1,13,32,Away,1,1
2474,1101,22,PF,TOR,CLE,33.9,19,9,0,0,0,0,47.2,27.4,81.2,-8,28,Home,2,0
8707,1327,20,SG,DAL,CHI,26.7,15,8,4,1,2,1,50.9,35.9,74.0,-1,29,Away,1,1
6086,1060,29,PG,MIN,DEN,37.0,12,5,9,2,0,4,52.0,26.5,76.5,8,24,Away,1,1
5419,1107,30,SG,HOU,UTA,18.9,13,0,0,0,1,0,55.6,50.3,70.3,-4,14,Away,1,0
8798,1447,30,PF,UTA,CHI,21.6,11,8,2,0,1,2,30.6,37.3,77.4,-11,20,Away,3,0
5674,1178,27,C,PHI,CLE,19.1,12,5,0,1,0,0,50.9,38.4,77.6,25,18,Home,3,1
6423,1312,30,C,MIN,MIA,33.2,17,11,2,1,2,3,51.5,15.1,59.5,-2,30,Away,1,1
2273,1449,29,SF,DAL,LAL,42.0,22,6,4,1,1,2,36.0,34.1,66.6,4,32,Home,4,0
1481,1085,27,PF,CHI,NYK,39.6,20,15,2,1,2,1,44.8,33.7,81.1,9,39,Home,1,1
