row_id,efficiency_binning_quantile,eff_times_minutes_binning_quantile,scoring_impact_binning_quantile,eff_per_point_binning_quantile,eff_per_min_binning_quantile,scoring_volume_binning_quantile,target
6782,7,2,2,5,5,2,0
4553,15,5,5,2,3,5,1
3801,11,4,4,4,4,3,0
7385,3,1,1,4,2,1,0
469,11,3,4,2,5,4,0
2716,3,2,1,4,1,2,0
2433,3,1,1,6,6,1,0
5999,16,5,5,3,5,5,1
643,13,5,5,3,3,5,0
3567,3,1,1,4,2,1,0
2117,11,4,3,6,2,4,0
35,20,6,6,1,4,6,1
8690,17,6,6,4,3,6,1
2972,9,4,3,5,1,4,0
2174,12,3,4,5,6,3,1
2579,8,3,4,1,4,4,0
2281,20,6,6,3,5,6,1
5933,12,4,4,5,5,3,0
8502,18,6,6,4,2,6,1
5906,2,1,1,6,5,1,0
4529,3,1,2,3,4,1,0
7611,14,5,4,4,2,5,1
2488,13,3,4,5,6,3,1
3712,7,3,2,4,2,3,0
5848,16,5,4,6,4,4,1
4163,16,5,5,5,4,5,1
4336,5,2,2,5,3,2,0
5127,5,3,2,6,1,2,0
8577,8,3,2,6,2,2,0
8345,13,5,5,3,3,5,1
4583,19,6,6,5,5,5,1
2106,15,5,4,5,5,4,1
4688,10,4,3,4,2,4,1
1231,16,5,4,6,6,4,1
6351,2,1,1,6,6,1,0
8443,8,3,3,3,3,3,0
4663,16,6,6,1,2,6,1
406,9,4,3,2,1,4,1
7370,11,4,4,3,2,4,1
8540,5,2,2,2,4,2,0
3788,11,4,3,6,4,2,1
1268,16,5,5,5,6,4,1
6671,12,5,4,5,2,4,0
393,15,5,5,2,3,5,1
594,5,2,2,6,2,2,0
5048,12,4,5,2,4,5,0
4341,7,3,3,3,1,3,0
2918,16,5,5,4,4,5,0
4416,16,4,5,5,6,4,1
2410,3,1,2,1,6,1,0
4158,18,6,6,2,4,6,1
3485,2,1,1,1,5,1,0
2335,5,2,2,3,5,2,0
6959,3,1,1,6,4,1,0
500,1,1,1,1,1,1,0
3375,7,3,2,5,1,3,1
6442,10,3,4,1,4,4,1
2690,3,1,2,1,2,2,0
4938,13,4,4,4,4,4,0
3145,7,2,2,6,6,1,0
8589,3,2,1,6,1,2,0
4062,13,4,4,4,5,4,1
405,3,1,1,6,5,1,0
2439,17,6,6,2,3,6,1
6313,15,4,5,3,6,4,1
8484,10,3,3,6,6,2,0
6306,8,5,4,1,1,5,0
2447,13,5,4,4,1,5,1
5508,10,4,4,1,2,5,1
6796,8,3,2,6,3,2,1
3618,3,2,1,2,1,2,0
1668,4,2,2,1,1,3,0
2319,11,4,4,2,3,4,0
7298,14,4,4,4,5,4,1
2552,1,1,1,6,1,1,0
7018,10,3,3,5,5,2,0
8075,16,6,6,1,2,6,1
3703,2,1,1,4,1,1,0
3668,16,5,5,4,4,5,1
8785,5,2,2,5,5,1,0
6791,8,3,2,5,4,2,0
1404,14,6,4,4,1,5,1
6005,11,3,4,2,6,3,0
6698,9,3,3,4,4,3,0
7032,9,3,3,4,5,3,0
8463,4,2,2,2,2,2,0
5269,1,1,1,4,1,1,0
7884,7,2,3,1,6,3,0
8218,8,3,3,2,4,3,0
1134,11,3,4,3,6,3,0
3687,4,2,2,1,1,3,0
7558,13,5,5,3,3,5,0
5149,15,5,5,3,3,5,1
423,8,2,1,6,6,1,1
3792,4,2,2,4,4,2,0
951,1,1,1,1,1,1,0
5516,16,6,5,4,3,5,1
2810,13,4,4,4,4,4,0
7605,10,3,3,5,5,3,0
2401,6,2,2,5,4,2,0
8554,6,1,2,6,6,1,0
7620,7,3,3,3,2,3,0
4522,4,1,1,5,6,1,0
8963,16,4,4,6,6,3,1
8722,7,1,3,2,6,2,0
5130,3,2,1,6,1,2,0
7283,13,4,4,4,4,4,1
2645,15,5,6,1,4,6,0
944,7,4,4,1,1,5,0
7572,15,5,4,6,4,4,1
2843,1,1,1,6,1,1,0
5162,19,6,6,1,5,6,1
3975,10,4,4,1,1,5,0
5157,14,4,5,1,5,5,1
2896,3,1,1,5,5,1,0
1834,12,5,5,1,2,6,0
345,15,4,5,5,6,4,1
6231,2,1,1,4,6,1,0
1937,12,4,4,3,3,4,0
8549,15,3,6,1,6,4,1
4403,3,1,1,6,3,1,0
8870,2,1,1,3,2,1,0
7457,9,2,3,4,6,2,0
8984,16,6,6,3,3,6,1
6176,9,3,3,5,3,3,1
6367,6,2,2,3,4,2,1
3784,14,4,4,4,6,4,1
6003,13,5,4,5,3,4,1
436,18,6,6,2,5,6,0
5241,20,6,6,4,5,6,1
