row_id,efficiency_binning_standard,opponent_freq,eff_times_minutes_binning_standard,plus_minus_binning_standard,team_freq,scoring_impact_binning_standard,target
6318,10,0.03319444444444444,2,5,0.034861111111111114,2,0
741,9,0.035694444444444445,2,5,0.03666666666666667,2,0
3782,12,0.0375,3,6,0.03208333333333333,3,0
7851,4,0.034583333333333334,1,3,0.035416666666666666,1,0
2964,7,0.035555555555555556,2,5,0.03638888888888889,1,0
6809,11,0.035,2,5,0.03388888888888889,2,1
3961,10,0.03263888888888889,3,4,0.03208333333333333,2,1
5309,11,0.035416666666666666,3,3,0.03305555555555555,2,0
3396,12,0.035555555555555556,3,5,0.03013888888888889,3,1
2486,12,0.029722222222222223,3,3,0.03666666666666667,3,1
5034,7,0.029722222222222223,1,2,0.035416666666666666,1,0
4569,10,0.03208333333333333,3,5,0.034166666666666665,2,1
4375,10,0.030972222222222224,3,3,0.034722222222222224,2,0
4140,14,0.035555555555555556,3,2,0.03305555555555555,3,1
2095,10,0.03208333333333333,2,2,0.03638888888888889,2,0
436,15,0.034861111111111114,4,4,0.03180555555555555,4,0
5361,10,0.034861111111111114,2,5,0.032916666666666664,2,0
6000,6,0.03236111111111111,1,3,0.03375,1,0
309,13,0.03180555555555555,3,4,0.032916666666666664,3,1
8830,12,0.034722222222222224,3,5,0.034722222222222224,2,1
8810,11,0.03208333333333333,2,3,0.03166666666666667,2,0
4127,17,0.03236111111111111,5,4,0.03666666666666667,5,1
88,8,0.032916666666666664,1,2,0.03208333333333333,1,0
3321,14,0.03194444444444444,4,3,0.03763888888888889,3,1
2898,10,0.034583333333333334,2,4,0.03208333333333333,2,1
402,7,0.035,1,3,0.03638888888888889,1,0
4181,14,0.034861111111111114,4,3,0.03333333333333333,4,1
1021,7,0.035694444444444445,2,3,0.03166666666666667,1,0
882,6,0.03194444444444444,1,3,0.03125,1,0
2593,13,0.0375,3,5,0.03333333333333333,3,1
6511,4,0.035555555555555556,1,3,0.03013888888888889,1,0
5734,8,0.03180555555555555,2,4,0.029583333333333333,2,0
6663,5,0.03180555555555555,1,4,0.035416666666666666,1,0
6985,13,0.03194444444444444,3,5,0.03333333333333333,3,1
6871,12,0.03166666666666667,3,3,0.03666666666666667,2,1
7309,6,0.034583333333333334,1,4,0.03375,1,0
6041,13,0.03208333333333333,4,5,0.030972222222222224,3,1
258,9,0.030972222222222224,2,5,0.03263888888888889,1,0
4476,6,0.029722222222222223,1,2,0.030972222222222224,1,0
289,14,0.03236111111111111,4,2,0.03638888888888889,4,0
8036,3,0.034722222222222224,1,3,0.034722222222222224,1,0
7793,9,0.03208333333333333,3,3,0.029583333333333333,2,0
6436,16,0.035555555555555556,5,5,0.035416666666666666,4,1
4199,8,0.03208333333333333,2,3,0.03208333333333333,1,0
8225,13,0.03263888888888889,3,4,0.03125,3,1
5661,8,0.03236111111111111,1,4,0.029583333333333333,1,0
4687,5,0.03194444444444444,1,3,0.035416666666666666,1,0
4872,10,0.03166666666666667,3,3,0.03388888888888889,2,0
7616,4,0.035555555555555556,1,1,0.03263888888888889,1,0
738,13,0.035,4,4,0.03763888888888889,3,1
4697,12,0.035,3,5,0.03333333333333333,3,0
7398,9,0.030972222222222224,2,3,0.03013888888888889,2,0
5275,5,0.03166666666666667,1,4,0.035416666666666666,1,0
1818,7,0.03166666666666667,2,2,0.03180555555555555,1,0
8688,9,0.03236111111111111,2,5,0.032916666666666664,1,0
544,12,0.034444444444444444,3,3,0.03680555555555556,2,1
4930,12,0.0375,4,4,0.03666666666666667,2,1
7979,9,0.0375,2,4,0.03208333333333333,2,0
4124,14,0.0375,4,3,0.03375,4,1
4416,13,0.03347222222222222,3,4,0.03763888888888889,3,1
5863,11,0.030972222222222224,2,3,0.03333333333333333,2,0
8542,9,0.032916666666666664,2,4,0.03388888888888889,2,0
1840,10,0.03194444444444444,2,4,0.03013888888888889,2,1
2345,14,0.035555555555555556,4,2,0.029583333333333333,3,1
4335,13,0.0375,3,3,0.03333333333333333,3,1
2134,5,0.034861111111111114,1,5,0.035416666666666666,1,0
6189,10,0.035416666666666666,2,4,0.03125,2,1
2030,10,0.035555555555555556,2,3,0.03125,2,0
2949,6,0.03263888888888889,1,4,0.034722222222222224,1,0
801,6,0.035,1,3,0.03263888888888889,1,0
6232,9,0.035555555555555556,2,4,0.030972222222222224,1,0
1406,8,0.03263888888888889,2,4,0.03125,1,1
57,12,0.03194444444444444,3,4,0.03013888888888889,3,1
70,12,0.03263888888888889,3,5,0.034027777777777775,3,1
8039,8,0.035,2,4,0.034166666666666665,1,0
712,9,0.030972222222222224,2,5,0.034722222222222224,2,0
5709,7,0.035416666666666666,2,4,0.03013888888888889,1,0
266,10,0.03138888888888889,2,4,0.034027777777777775,2,1
1587,7,0.035555555555555556,1,3,0.03305555555555555,1,0
5152,10,0.032916666666666664,2,5,0.03166666666666667,2,0
2408,8,0.0375,2,2,0.03375,2,0
4632,8,0.030972222222222224,2,3,0.03375,1,0
2023,15,0.0375,4,6,0.03166666666666667,4,1
1966,15,0.03347222222222222,3,5,0.03638888888888889,3,1
4030,5,0.03236111111111111,1,5,0.035416666666666666,1,0
4891,16,0.0375,5,4,0.03763888888888889,5,1
5951,10,0.03180555555555555,2,5,0.032916666666666664,2,1
8849,9,0.03319444444444444,2,5,0.029583333333333333,2,0
8114,8,0.034583333333333334,2,5,0.03763888888888889,1,0
2706,10,0.03263888888888889,2,2,0.03375,2,0
4937,10,0.03194444444444444,2,1,0.03388888888888889,2,0
3124,12,0.03194444444444444,3,4,0.034166666666666665,3,1
7695,12,0.03180555555555555,3,3,0.03375,2,1
2026,14,0.035416666666666666,4,3,0.03375,3,1
7711,7,0.03347222222222222,2,4,0.030972222222222224,1,0
2303,15,0.03208333333333333,4,3,0.03166666666666667,3,1
7095,13,0.034583333333333334,3,2,0.03013888888888889,3,0
2084,11,0.035694444444444445,3,4,0.035416666666666666,3,1
6687,8,0.03236111111111111,2,2,0.03666666666666667,2,0
4513,11,0.035555555555555556,2,3,0.034166666666666665,2,0
5767,16,0.03208333333333333,5,3,0.03388888888888889,5,1
4246,15,0.035,5,3,0.03180555555555555,4,1
6093,9,0.03347222222222222,3,4,0.03333333333333333,2,1
4691,12,0.03194444444444444,3,3,0.034722222222222224,3,0
8134,12,0.03180555555555555,3,4,0.034166666666666665,3,1
1330,15,0.03236111111111111,4,3,0.03375,4,1
8205,10,0.030972222222222224,2,3,0.03333333333333333,2,0
1685,9,0.03236111111111111,2,3,0.03388888888888889,2,0
