row_id,efficiency_binning_quantile,eff_times_minutes_binning_quantile,eff_per_point_binning_quantile,plus_minus_binning_quantile,opponent_freq,eff_per_min_binning_quantile,target
6318,11,4,5,6,0.03319444444444444,4,0
741,8,3,3,7,0.035694444444444445,3,0
3782,15,5,1,7,0.0375,3,0
7851,1,1,6,3,0.034583333333333334,1,0
2964,4,2,6,6,0.035555555555555556,2,0
6809,12,3,4,7,0.035,6,1
3961,11,5,3,6,0.03263888888888889,1,1
5309,13,4,4,1,0.035416666666666666,4,0
3396,15,5,1,6,0.035555555555555556,3,1
2486,15,4,3,3,0.029722222222222223,6,1
5034,3,1,6,1,0.029722222222222223,3,0
4569,11,4,2,6,0.03208333333333333,3,1
4375,11,5,2,3,0.030972222222222224,1,0
4140,17,4,4,1,0.035555555555555556,6,1
2095,9,2,3,1,0.03208333333333333,6,0
436,18,6,2,4,0.034861111111111114,5,0
5361,11,3,3,6,0.034861111111111114,5,0
6000,2,2,6,2,0.03236111111111111,1,0
309,16,5,2,5,0.03180555555555555,6,1
8830,14,5,6,6,0.034722222222222224,3,1
8810,13,4,3,1,0.03208333333333333,6,0
4127,20,6,2,6,0.03236111111111111,5,1
88,5,1,6,1,0.032916666666666664,6,0
3321,17,5,6,3,0.03194444444444444,5,1
2898,9,3,2,4,0.034583333333333334,3,1
402,4,1,5,3,0.035,5,0
4181,18,6,1,2,0.034861111111111114,4,1
1021,3,3,2,2,0.035694444444444445,1,0
882,3,1,2,1,0.03194444444444444,5,0
2593,16,4,5,6,0.0375,6,1
6511,1,1,4,3,0.035555555555555556,1,0
5734,6,2,1,4,0.03180555555555555,3,0
6663,2,1,6,4,0.03180555555555555,1,0
6985,16,5,3,7,0.03194444444444444,5,1
6871,14,4,6,3,0.03166666666666667,5,1
7309,3,1,1,5,0.034583333333333334,4,0
6041,16,5,3,7,0.03208333333333333,4,1
258,7,3,6,6,0.030972222222222224,2,0
4476,2,1,4,1,0.029722222222222223,3,0
289,18,5,2,1,0.03236111111111111,5,0
8036,1,1,6,3,0.034722222222222224,1,0
7793,8,4,3,2,0.03208333333333333,1,0
6436,20,6,5,6,0.035555555555555556,4,1
4199,5,2,6,2,0.03208333333333333,3,0
8225,16,5,3,5,0.03263888888888889,5,1
5661,5,2,2,4,0.03236111111111111,5,0
4687,2,1,1,2,0.03194444444444444,1,0
4872,10,5,5,2,0.03166666666666667,1,0
7616,1,1,5,1,0.035555555555555556,1,0
738,16,6,5,5,0.035,2,1
4697,14,4,3,7,0.035,6,0
7398,7,3,4,2,0.030972222222222224,2,0
5275,1,1,6,5,0.03166666666666667,2,0
1818,3,2,4,1,0.03166666666666667,1,0
8688,7,3,6,7,0.03236111111111111,3,0
544,15,5,6,3,0.034444444444444444,4,1
4930,14,6,5,5,0.0375,1,1
7979,8,3,2,5,0.0375,5,0
4124,17,5,1,3,0.0375,5,1
4416,16,4,5,5,0.03347222222222222,6,1
5863,12,3,6,3,0.030972222222222224,6,0
8542,7,3,4,5,0.032916666666666664,4,0
1840,10,3,3,4,0.03194444444444444,6,1
2345,17,6,5,1,0.035555555555555556,3,1
4335,16,5,3,3,0.0375,6,1
2134,1,1,4,6,0.034861111111111114,1,0
6189,10,3,6,6,0.035416666666666666,6,1
2030,9,3,2,2,0.035555555555555556,5,0
2949,2,1,6,4,0.03263888888888889,3,0
801,3,1,4,2,0.035,5,0
6232,7,2,5,4,0.035555555555555556,5,0
1406,6,2,6,5,0.03263888888888889,4,1
57,14,4,1,5,0.03194444444444444,5,1
70,15,4,3,6,0.03263888888888889,6,1
8039,6,2,6,5,0.035,3,0
712,8,3,5,6,0.030972222222222224,5,0
5709,4,2,1,4,0.035416666666666666,2,0
266,11,3,3,5,0.03138888888888889,6,1
1587,4,2,6,3,0.035555555555555556,3,0
5152,9,3,6,7,0.032916666666666664,4,0
2408,5,2,1,1,0.0375,2,0
4632,5,2,6,3,0.030972222222222224,3,0
2023,19,6,2,7,0.0375,5,1
1966,18,5,6,6,0.03347222222222222,6,1
4030,1,1,5,7,0.03236111111111111,2,0
4891,20,6,2,5,0.0375,4,1
5951,11,4,2,7,0.03180555555555555,4,1
8849,7,3,2,6,0.03319444444444444,3,0
8114,5,2,3,6,0.034583333333333334,3,0
2706,11,3,3,1,0.03263888888888889,6,0
4937,10,4,5,1,0.03194444444444444,3,0
